,name,region,city,price,cuisine,url,latitude,longitude,description
0,Kilian Stuba,Austria,Kleinwalsertal,11111,Creative,https://guide.michelin.com/at/en/vorarlberg/kleinwalsertal/restaurant/kilian-stuba,47.34858,10.17114,"Chic and elegant design, top-notch service and technically sophisticated cuisine. Dishes are stripped back to the essentials and make use of ingredients sourced both inside and outside the region. As well as the four- to six-course set menu, there is the Ifen specialty: prime rib of beef for two, carved <span>...</span>"
1,Pfefferschiff,Austria,Hallwang,11111,Classic cuisine,https://guide.michelin.com/at/en/salzburg-region/hallwang/restaurant/pfefferschiff,47.83787,13.07917,"Standing at the gates of Salzburg, this top gourmet restaurant is located in a lovely 17C former parish house. The owner Jürgen Vigné’s flavoursome and distinctive cuisine is matched by the charming front-of-house team managed by his wife. The dining rooms are delightful and the terrace is wonderful."
2,Esszimmer,Austria,Salzburg,11111,Creative,https://guide.michelin.com/at/en/salzburg-region/salzburg/restaurant/esszimmer,47.80685,13.03409,"Elegant but far from stiff, the Kaiblinger’s restaurant is decorated with lively colour accents and the charming front-of-house team serve punchy cuisine that is modern with classical influences, always finely balanced and anything but boring! Attractive rear courtyard terrace."
3,Carpe Diem,Austria,Salzburg,11111,Market cuisine,https://guide.michelin.com/at/en/salzburg-region/salzburg/restaurant/carpe-diem,47.80001,13.04006,
4,Edvard,Austria,Wien,1111,Modern cuisine,https://guide.michelin.com/at/en/vienna/wien/restaurant/edvard,48.216503,16.36852,"The elegant fine dining restaurant of the Palais Hansen Kempinski Hotel Vienna offers a successful marriage of modern and classic. The food is refined and technically sophisticated, with a penchant for Mediterranean produce. A nice touch is that at the start, your friendly server comes to your table to give <span>...</span>"
5,Das Loft,Austria,Wien,11111,Modern cuisine,https://guide.michelin.com/at/en/vienna/wien/restaurant/das-loft,48.21272,16.37931,"The location on the 18th floor of lifestyle hotel SO/Vienna is undeniably spectacular – the view of Vienna is phenomenal! Add to that the attentive, laid-back service and cuisine that draws on modern influences. Great wine selection. There is also a popular cocktail bar."
6,Pramerl & the Wolf,Austria,Wien,11111,Creative,https://guide.michelin.com/at/en/vienna/wien/restaurant/pramerl-the-wolf,48.20945,16.37174,"This former bar in Vienna’s 9th district is simple and pleasantly unpretentious, its surprise menu promising inexpensive yet sophisticated fare that is full of contrast. No unnecessary frills here, just excellent produce and great value for money! The best way to reach it is on the U4 underground line."
7,Walter Bauer,Austria,Wien,11111,Classic cuisine,https://guide.michelin.com/at/en/vienna/wien/restaurant/walter-bauer,48.20923,16.37672,"This listed building in the centre of the old town has oodles of Viennese charm, as well as a wonderful vaulted ceiling in the restaurant. The owners place great importance on providing attentive and personal service, as well as classic cuisine without frills. There is also an excellent wine list."
8,SHIKI,Austria,Wien,11111,Japanese,https://guide.michelin.com/at/en/vienna/wien/restaurant/shiki,48.204067,16.37098,"SHIKI offers fine dining Japanese-style in the heart of Vienna, close to the Opera. The elegant restaurant decorated in dark tones offers a perfect marriage of tradition and modernity. It serves ambitious, seasonal cuisine (‘Shiki’ means the four seasons)."
9,Tian,Austria,Wien,11111,Vegetarian,https://guide.michelin.com/at/en/vienna/wien/restaurant/tian,48.20513,16.37456,"The depth of flavour that you’ll find in the exclusively vegan and vegetarian dishes on offer here is remarkable! And how about a bottle from the ever-growing selection of organic wines – or perhaps one of the restaurant’s home-made alcohol-free drinks – to wash down the sophisticated, flavoursome fare? Friendly, <span>...</span>"
